dataset,variable,type,is_labelled,n_labels,variable_label,n_missing,pct_missing,n_unique
ch,UF6,numeric,FALSE,0,Numéro du superviseur,0,0,7
ch,UF7D,numeric,FALSE,0,Jour de l’enquête,0,0,31
ch,UF7M,numeric,FALSE,0,Mois de l’enquête,0,0,2
ch,UF7Y,numeric,FALSE,0,Année de l’enquête,0,0,1
ch,UF9,haven_labelled,TRUE,2,Répondant à un autre questionnaire,0,0,2
ch,UF10,haven_labelled,TRUE,2,Consentement,0,0,2
ch,UF17,haven_labelled,TRUE,7,Résultat de l'entretien pour les enfants de moins de 5 ans,0,0,6
ch,UF8H,numeric,FALSE,0,Début de l'entretien - Heure,0,0,17
ch,UF8M,numeric,FALSE,0,Début de l'entretien - Minutes,0,0,60
ch,UF11H,numeric,FALSE,0,Fin de l'entretien - Heure,111,5.45,18
ch,UF11M,numeric,FALSE,0,Fin de l'entretien - Minutes,111,5.45,61
ch,UF12,haven_labelled,TRUE,2,Langue du questionnaire,111,5.45,3
ch,UF13,haven_labelled,TRUE,3,Langue de l'entretien,111,5.45,4
ch,UF14,haven_labelled,TRUE,3,Langue maternelle du répondant,111,5.45,4
ch,UF15,haven_labelled,TRUE,3,Traducteur utilisé,111,5.45,4
ch,UF15A,haven_labelled,TRUE,3,Enquêteur ménage,1581,77.61,3
ch,UF15B,haven_labelled,TRUE,3,Avez-vous un numéro de téléphone,1601,78.6,2
ch,UF15C,haven_labelled,TRUE,3,Consentement pour participer à MICS-PLUS,1601,78.6,4
ch,UF15D,haven_labelled,TRUE,3,Avoir un téléphone pour recevoir l'appel pour MICS-PLUS,1601,78.6,4
ch,UF15E,haven_labelled,TRUE,3,Accepter un appel pour MICS-PLUS,1902,93.37,3
ch,UF15G_P1,haven_labelled,TRUE,3,Valider le premier numéro de téléphone,1902,93.37,2
ch,UF15J_P1,haven_labelled,TRUE,3,Avoir un autre numéro de téléphone,1902,93.37,3
ch,UF15G_P2,haven_labelled,TRUE,3,Valider le deuxième numéro de téléphone,2031,99.71,2
ch,UF15J_P2,haven_labelled,TRUE,3,Avoir un autre numéro de téléphone,2031,99.71,3
ch,UF15G_P3,haven_labelled,TRUE,3,Valider le troisième numéro de téléphone,2035,99.9,2
ch,UF15J_P3,haven_labelled,TRUE,3,Avoir un autre numéro de téléphone,2035,99.9,3
ch,UFHINT,numeric,FALSE,0,Intervieweur en ménage,0,0,129
ch,UB1D,haven_labelled,TRUE,2,Jour de naissance de l'enfant,111,5.45,34
ch,UB1M,haven_labelled,TRUE,13,Mois de naissance de l'enfant,111,5.45,14
ch,UB1Y,haven_labelled,TRUE,1,Année de naissance de l'enfant,111,5.45,7
ch,UB2,numeric,FALSE,0,Âge de l'enfant,111,5.45,6
ch,UB6,haven_labelled,TRUE,3,Avez-vous déjà participé à un programme d'éducation de la petite enfance,1116,54.79,4
ch,UB6A,haven_labelled,TRUE,4,A participé à un programme d'éducation de la petite enfance,1555,76.34,5
ch,UB7,haven_labelled,TRUE,3,A fréquenté un programme d'éducation de la petite enfance à tout moment depuis le début de l'année scolaire en cours,1555,76.34,3
ch,UB8,haven_labelled,TRUE,3,Participe actuellement à un programme d'éducation de la petite enfance,1587,77.91,3
ch,UB9,haven_labelled,TRUE,3,Couvert par n'importe quelle assurance maladie,111,5.45,4
ch,UB10A,haven_labelled,TRUE,2,Type d'assurance maladie - Mutuelle / Assurance maladie communautaire,0,0,3
ch,UB10D,haven_labelled,TRUE,2,Type d'assurance maladie - Assurance maladie par l'employeur,0,0,3
ch,UB10E,haven_labelled,TRUE,2,Type d'assurance maladie - Sécurité sociale,0,0,3
ch,UB10F,haven_labelled,TRUE,2,Type d'assurance maladie - Autre assurance maladie commerciale souscrite à titre privé,0,0,3
ch,UB10X,haven_labelled,TRUE,2,Type d'assurance maladie - Autre,0,0,3
ch,UB10NR,haven_labelled,TRUE,1,Type d'assurance maladie – Non réponse,0,0,2
ch,BR1,haven_labelled,TRUE,5,Acte de naissance et/ou inscrit au livret de famille,111,5.45,6
ch,BR2,haven_labelled,TRUE,4,Enregistrement/déclaration à l'état civil,1951,95.78,3
ch,BR3,haven_labelled,TRUE,3,Savoir enregistrer une naissance,2034,99.85,3
ch,EC1,haven_labelled,TRUE,12,Nombre de livres pour enfants ou de graphismes pour enfants,111,5.45,12
ch,EC2A,haven_labelled,TRUE,4,Jouets faits maison,111,5.45,5
ch,EC2B,haven_labelled,TRUE,4,Jouets des magasins,111,5.45,3
ch,EC2C,haven_labelled,TRUE,4,Objets ménagers ou objets extérieurs,111,5.45,4
ch,EC3A,haven_labelled,TRUE,10,Jours laissés seuls pendant plus d'une heure,111,5.45,11
ch,EC3B,haven_labelled,TRUE,10,"Jours passés sous la garde d'un autre enfant, c'est-à-dire quelqu'un de moins de 10 ans, pendant plus d'une heure",111,5.45,10
ch,EC5AA,haven_labelled,TRUE,2,Lire des livres - Mère,0,0,3
ch,EC5AB,haven_labelled,TRUE,2,Lire des livres - Père,0,0,3
ch,EC5AX,haven_labelled,TRUE,2,Lire des livres - Autre,0,0,3
ch,EC5AY,haven_labelled,TRUE,2,Lire des livres - Personne,0,0,3
ch,EC5ANR,haven_labelled,TRUE,1,Lire des livres – Non réponse,0,0,2
ch,EC5BA,haven_labelled,TRUE,2,Raconter des histoires - Mère,0,0,3
ch,EC5BB,haven_labelled,TRUE,2,Raconter des histoires - Père,0,0,3
ch,EC5BX,haven_labelled,TRUE,2,Raconter des histoires - Autre,0,0,3
ch,EC5BY,haven_labelled,TRUE,2,Raconter des histoires - Personne,0,0,3
ch,EC5BNR,haven_labelled,TRUE,1,Raconter des histoires – Non réponse,0,0,2
ch,EC5CA,haven_labelled,TRUE,2,Chanter des chansons - Mère,0,0,3
ch,EC5CB,haven_labelled,TRUE,2,Chanter des chansons - Père,0,0,3
ch,EC5CX,haven_labelled,TRUE,2,Chanter des chansons - Autre,0,0,3
ch,EC5CY,haven_labelled,TRUE,2,Chanter des chansons - Personne,0,0,3
ch,EC5CNR,haven_labelled,TRUE,1,Chanter des chansons - Non réponse,0,0,2
ch,EC5DA,haven_labelled,TRUE,2,L'emmener dehors -Mère,0,0,3
ch,EC5DB,haven_labelled,TRUE,2,L'emmener dehors-Père,0,0,3
ch,EC5DX,haven_labelled,TRUE,2,L'emmener dehors-Autre,0,0,3
ch,EC5DY,haven_labelled,TRUE,2,L'emmener dehors-Personne,0,0,3
ch,EC5DNR,haven_labelled,TRUE,1,L'emmener dehors-Non reponse,0,0,2
ch,EC5EA,haven_labelled,TRUE,2,Joué avec - Mère,0,0,2
ch,EC5EB,haven_labelled,TRUE,2,Joué avec - Père,0,0,2
ch,EC5EX,haven_labelled,TRUE,2,Joué avec - Autre,0,0,2
ch,EC5EY,haven_labelled,TRUE,2,Joué avec - Personne,0,0,2
ch,EC5ENR,haven_labelled,TRUE,1,Joué avec - Non réponse,0,0,1
ch,EC5FA,haven_labelled,TRUE,2,Nommer/compter/ dessiner-Mère,0,0,3
ch,EC5FB,haven_labelled,TRUE,2,Nommer/compter/ dessiner-Père,0,0,3
ch,EC5FX,haven_labelled,TRUE,2,Nommer/compter/ dessiner-Autre,0,0,3
ch,EC5FY,haven_labelled,TRUE,2,Nommer/compter/ dessiner-Personne,0,0,3
ch,EC5FNR,haven_labelled,TRUE,1,Nommer/compter/ dessiner-Non reponse,0,0,2
ch,EC21,haven_labelled,TRUE,4,Enfant peut marcher sur une surface inégale,737,36.18,4
ch,EC22,haven_labelled,TRUE,4,Enfant peut sauter avec les deux pied,737,36.18,4
ch,EC23,haven_labelled,TRUE,4,Enfant peut s'habiller lui même,737,36.18,4
ch,EC24,haven_labelled,TRUE,4,Enfant peut attacher ou détacher des boutons sans aide,737,36.18,4
ch,EC25,haven_labelled,TRUE,4,Enfant peut dire au moins 10 mots ou plus comme maman ou ballon,737,36.18,4
ch,EC26,haven_labelled,TRUE,4,Enfant peut parler en utilisant des phrases de 3 mots ou plus,737,36.18,4
ch,EC27,haven_labelled,TRUE,4,Enfant peut parler en utilisant des phrases des 5 mots ou plus,875,42.96,3
ch,EC28,haven_labelled,TRUE,4,"Enfant peut utiliser correctement l’un des mots ""je"", ""tu"", ""elle"" ou ""il"",",737,36.18,5
ch,EC29,haven_labelled,TRUE,4,Si vous montrez à l’enfant un objet qu’il (elle) connaît bien peut-(il/elle) le nommer de manière cohérente,737,36.18,4
ch,EC30,haven_labelled,TRUE,4,Enfant peut reconnaitre au moins 5 lettres de l'alphabet,737,36.18,4
ch,EC31,haven_labelled,TRUE,4,Enfant peut écrire son propre nom,737,36.18,4
ch,EC32,haven_labelled,TRUE,4,Enfant connait tous les chiffres de 1 à 5,737,36.18,4
ch,EC33,haven_labelled,TRUE,4,"Si vous demandez à l’enfant de vous donner 3 objets, tels que 3 pierres vous donne-t-(il/elle) la quantité correcte",737,36.18,4
ch,EC34,haven_labelled,TRUE,4,Enfant peut compter 10 objets,737,36.18,4
ch,EC35,haven_labelled,TRUE,4,Enfant peut faire une activité telle que le coloriage,737,36.18,5
ch,EC36,haven_labelled,TRUE,4,Enfant pose des questions sur des personnes familières autres que les parents,737,36.18,4
ch,EC37,haven_labelled,TRUE,4,Enfant propose d'aider une personne qui semble avoir besoin d'aide,737,36.18,4
ch,EC38,haven_labelled,TRUE,4,Enfant s’entend bien avec les autres enfants,737,36.18,4
ch,EC39,haven_labelled,TRUE,6,Combien de fois enfant semble-t-il être très triste ou déprimé,737,36.18,7
ch,EC40,haven_labelled,TRUE,6,Par rapport aux enfants du même âge,737,36.18,7
ch,UCD2A,haven_labelled,TRUE,3,Retiré des privilèges,383,18.8,3
ch,UCD2B,haven_labelled,TRUE,3,Expliqué pourquoi le comportement était mauvais,383,18.8,4
ch,UCD2C,haven_labelled,TRUE,3,Secoué l'enfant,383,18.8,4
ch,UCD2D,haven_labelled,TRUE,3,"A grondé, hurler ou crié après l'enfant",383,18.8,4
ch,UCD2E,haven_labelled,TRUE,3,A donné à l'enfant autre chose à faire,383,18.8,4
ch,UCD2F,haven_labelled,TRUE,3,"Donné une fessée, frappé ou giflé sur les fesses à main nue",383,18.8,4
ch,UCD2G,haven_labelled,TRUE,3,"Frappé l'enfant sur les fesses ou ailleurs avec une ceinture, une brosse, un bâton, etc.",383,18.8,4
ch,UCD2H,haven_labelled,TRUE,3,"Traité l'enfant d'idiot, de paresseux ou d'un autre nom",383,18.8,4
ch,UCD2I,haven_labelled,TRUE,3,"Frappé ou giflé l'enfant au visage, à la tête ou aux oreilles",383,18.8,4
ch,UCD2J,haven_labelled,TRUE,3,"Frappé ou giflé l'enfant à la main, au bras ou à la jambe",383,18.8,4
ch,UCD2K,haven_labelled,TRUE,3,Battu l'enfant aussi fort que possible,383,18.8,4
ch,UCD3,haven_labelled,TRUE,2,Mère / Tutrice d'un autre enfant de moins de 5 ans ou d'un enfant sélectionné âgé de 5 à 17 ans,2037,100,1
ch,UCD4,haven_labelled,TRUE,2,Déjà répondu à la question UCD5 ou FCD5,631,30.98,3
ch,UCD5,haven_labelled,TRUE,4,L'enfant doit être puni physiquement pour être élevé correctement,869,42.66,4
ch,UCF2,haven_labelled,TRUE,3,L'enfant porte des lunettes,737,36.18,4
ch,UCF3,haven_labelled,TRUE,3,L'enfant utilise un appareil auditif,737,36.18,4
ch,UCF4,haven_labelled,TRUE,3,L'enfant utilise n'importe quel équipement ou reçoit de l'aide pour marcher,737,36.18,4
ch,UCF7,haven_labelled,TRUE,5,L'enfant a du mal à voir,737,36.18,6
ch,UCF9,haven_labelled,TRUE,5,L'enfant a du mal à entendre les sons comme les voix des gens ou la musique,737,36.18,5
ch,UCF11,haven_labelled,TRUE,4,"Sans utiliser d'équipement ou d'assistance, l'enfant a des difficultés à marcher",2008,98.58,3
ch,UCF12,haven_labelled,TRUE,5,"Lors de l'utilisation d'un équipement ou d'une assistance, l'enfant a des difficultés à marcher",2008,98.58,4
ch,UCF13,haven_labelled,TRUE,5,"Par rapport aux enfants du même âge, l'enfant a des difficultés à marcher",766,37.6,5
ch,UCF14,haven_labelled,TRUE,5,"Comparé aux enfants du même âge, l'enfant a du mal à ramasser de petits objets avec sa main",737,36.18,5
ch,UCF15,haven_labelled,TRUE,5,L'enfant a du mal à comprendre le parent/tuteur,737,36.18,5
ch,UCF16,haven_labelled,TRUE,5,L'enfant a du mal à être compris par son parent/tuteur lorsqu'il parle,737,36.18,4
ch,UCF17,haven_labelled,TRUE,5,"Par rapport aux enfants du même âge, l'enfant a du mal à apprendre des choses",737,36.18,5
ch,UCF18,haven_labelled,TRUE,5,"Par rapport aux enfants du même âge, l'enfant a du mal à jouer",737,36.18,4
ch,BD2,haven_labelled,TRUE,4,"Par rapport aux enfants du même âge, combien d'enfants donnent des coups de pied, mordent ou frappent d'autres enfants ou adultes.",1032,50.66,4
ch,BD3,haven_labelled,TRUE,4,Enfant encore allaité,1158,56.85,4
ch,BD4,haven_labelled,TRUE,4,Enfant a bu quelque chose d'une bouteille,1411,69.27,3
ch,BD5,haven_labelled,TRUE,4,L'enfant a bu des SRO hier,1411,69.27,4
ch,BD6,haven_labelled,TRUE,4,L'enfant a bu ou mangé des suppléments de vitamines ou de minéraux hier,1411,69.27,3
ch,BD7A,haven_labelled,TRUE,4,L'enfant a bu de l'eau plate hier,1411,69.27,4
ch,BD7B,haven_labelled,TRUE,4,L'enfant a bu du jus ou des boissons à base de jus hier,1411,69.27,3
ch,BD7C,haven_labelled,TRUE,4,L'enfant a bu du bouillon clair/de la soupe claire hier,1411,69.27,4
ch,BD7D,haven_labelled,TRUE,4,L'enfant a bu du lait maternisé hier,1411,69.27,4
ch,BD7D1,haven_labelled,TRUE,9,Nombre de fois où l'enfant a bu du lait maternisé,1894,92.98,10
ch,BD7E,haven_labelled,TRUE,4,L'enfant a bu du lait d'animaux hier,1411,69.27,4
ch,BD7E1,haven_labelled,TRUE,9,Nombre de fois où l'enfant a bu d'autres laits d'animaux hier,1786,87.68,10
ch,BD7X,haven_labelled,TRUE,4,L'enfant a bu un autre liquide hier,1411,69.27,5
ch,BD8A,haven_labelled,TRUE,4,L'enfant a mangé du yaourt hier,1411,69.27,3
ch,BD8A1,haven_labelled,TRUE,9,Nombre de fois où l'enfant a mangé du yaourt,1658,81.39,9
ch,BD8B,haven_labelled,TRUE,4,"L'enfant a mangé hier des aliments enrichis pour bébé (gerber, hero, cerelac, nestum, etc.)",1411,69.27,4
ch,BD8C,haven_labelled,TRUE,4,L'enfant a mangé hier des aliments à base de céréales,1411,69.27,3
ch,BD8D,haven_labelled,TRUE,4,"L'enfant a mangé hier de la citrouille, des carottes, des courges, etc. dont l'intérieur est jaune ou orange",1411,69.27,4
ch,BD8E,haven_labelled,TRUE,4,"L'enfant a mangé hier des pommes de terre blanches, des ignames blanches, du manioc, du manioc, etc., tout autre aliment à base de racines.",1411,69.27,4
ch,BD8F,haven_labelled,TRUE,4,L'enfant a mangé des légumes à feuilles vertes hier,1411,69.27,4
ch,BD8G,haven_labelled,TRUE,4,"L'enfant a mangé hier des mangues mûres, des papayes, etc. et tout autre fruit riche en vitamine A.",1411,69.27,4
ch,BD8H,haven_labelled,TRUE,4,L'enfant a mangé d'autres fruits ou légumes hier,1411,69.27,5
ch,BD8I,haven_labelled,TRUE,4,"L'enfant a mangé du foie, des reins, du cœur ou d'autres organes hier",1411,69.27,5
ch,BD8J,haven_labelled,TRUE,4,"L'enfant a mangé de la viande, comme du bœuf, du porc, de l'agneau, de la chèvre, du poulet et du canard hier.",1411,69.27,4
ch,BD8K,haven_labelled,TRUE,4,L'enfant a mangé des œufs hier,1411,69.27,5
ch,BD8L,haven_labelled,TRUE,4,L'enfant a mangé du poisson ou des fruits de mer frais ou séchés hier,1411,69.27,4
ch,BD8M,haven_labelled,TRUE,4,"L'enfant a mangé des haricots, des pois, des lentilles ou des noix ou tout autre aliment fabriqué à partir de ces derniers hier",1411,69.27,4
ch,BD8N,haven_labelled,TRUE,4,L'enfant a mangé du fromage ou d'autres aliments à base de lait hier,1411,69.27,4
ch,BD8X,haven_labelled,TRUE,4,"L'enfant a mangé d'autres aliments solides, semi-solides ou mous hier",1411,69.27,5
ch,BD9,haven_labelled,TRUE,10,Nombre de fois où l'enfant a mangé des aliments solides ou semi-solides,1411,69.27,11
ch,BD8DUMMY,haven_labelled,TRUE,1,Explication factice pour BD8,1411,69.27,2
ch,IM2,haven_labelled,TRUE,3,Carnet de vaccination pour enfant,1032,50.66,4
ch,IM3,haven_labelled,TRUE,3,A déjà eu un carnet de vaccination,1943,95.39,4
ch,IM4A,haven_labelled,TRUE,3,Lieu de vaccination,1943,95.39,4
ch,IM4B,haven_labelled,TRUE,3,Lieu de vaccination,1126,55.28,4
ch,IM5,haven_labelled,TRUE,7,Carnet / document vu,1126,55.28,7
ch,IM6BD,haven_labelled,TRUE,4,Jour de vaccination BCG,1344,65.98,34
ch,IM6BM,haven_labelled,TRUE,4,Mois de vaccination BCG,1344,65.98,15
ch,IM6BY,haven_labelled,TRUE,4,Année de vaccination BCG,1344,65.98,7
ch,IM6VHB0D,haven_labelled,TRUE,4,Jour de vaccination contre HEPB (VHB-0) (à la naissance),1344,65.98,34
ch,IM6VHB0M,haven_labelled,TRUE,4,Mois de vaccination contre HEPB (VHB-0) (à la naissance),1344,65.98,15
ch,IM6VHB0Y,haven_labelled,TRUE,4,Année de vaccination contre HEPB (VHB-0) (à la naissance),1344,65.98,7
ch,IM6PENTA1D,haven_labelled,TRUE,4,Jour de vaccination contre la Pentavalent (Penta 1),1344,65.98,34
ch,IM6PENTA1M,haven_labelled,TRUE,4,Mois de vaccination contre la Pentavalent (Penta 1),1344,65.98,15
ch,IM6PENTA1Y,haven_labelled,TRUE,4,Année de vaccination contre la Pentavalent (Penta 1),1344,65.98,7
ch,IM6VPI1D,haven_labelled,TRUE,4,Jour de vaccination contre la VPI 1,1344,65.98,34
ch,IM6VPI1M,haven_labelled,TRUE,4,Mois de vaccination contre la VPI 1,1344,65.98,15
ch,IM6VPI1Y,haven_labelled,TRUE,4,Année de vaccination contre la VPI 1,1344,65.98,8
ch,IM6VPC1D,haven_labelled,TRUE,4,Jour de vaccination contre la Coqueluche (VPC1),1344,65.98,34
ch,IM6VPC1M,haven_labelled,TRUE,4,Mois de vaccination contre la Coqueluche (VPC1),1344,65.98,15
ch,IM6VPC1Y,haven_labelled,TRUE,4,Année de vaccination contre la Coqueluche (VPC1),1344,65.98,7
ch,IM6PENTA2D,haven_labelled,TRUE,4,Jour de vaccination contre la Pentavalent (Penta 2),1344,65.98,34
ch,IM6PENTA2M,numeric,FALSE,0,Mois de vaccination contre la Pentavalent (Penta 2),1344,65.98,15
ch,IM6PENTA2Y,haven_labelled,TRUE,4,Année de vaccination contre  la Pentavalent (Penta 2),1344,65.98,7
ch,IM6VPI2D,haven_labelled,TRUE,4,Jour de vaccination VPI 2,1344,65.98,34
ch,IM6VPI2M,haven_labelled,TRUE,4,Mois de vaccination la VPI 2,1344,65.98,15
ch,IM6VPI2Y,haven_labelled,TRUE,4,Année de vaccination la VPI 2,1344,65.98,7
ch,IM6VPC2D,haven_labelled,TRUE,4,Jour de vaccination contre la Coqueluche (VPC2),1344,65.98,35
ch,IM6VPC2M,haven_labelled,TRUE,4,Mois de vaccination contre la Coqueluche (VPC2),1344,65.98,16
ch,IM6VPC2Y,haven_labelled,TRUE,4,Année de vaccination contre la Coqueluche (VPC2),1344,65.98,9
ch,IM6PENTA3D,haven_labelled,TRUE,4,Jour de vaccination contre la Pentavalent (Penta 3),1344,65.98,35
ch,IM6PENTA3M,haven_labelled,TRUE,4,Mois de vaccination contre la Pentavalent (Penta 3),1344,65.98,16
ch,IM6PENTA3Y,haven_labelled,TRUE,4,Année de vaccination contre  la Pentavalent (Penta 3),1344,65.98,8
ch,IM6VPO1D,haven_labelled,TRUE,4,Jour de vaccination antipoliomyélitique oral (VPO 1),1344,65.98,34
ch,IM6VPO1M,haven_labelled,TRUE,4,Mois de vaccination antipoliomyélitique oral (VPO 1),1344,65.98,15
ch,IM6VPO1Y,haven_labelled,TRUE,4,Année de vaccination antipoliomyélitique oral (VPO 1),1344,65.98,7
ch,IM6VPC3D,haven_labelled,TRUE,4,Jour de vaccination contre la Coqueluche (VPC3),1344,65.98,35
ch,IM6VPC3M,haven_labelled,TRUE,4,Mois de vaccination contre la Coqueluche (VPC3),1344,65.98,16
ch,IM6VPC3Y,haven_labelled,TRUE,4,Année de vaccination contre la Coqueluche (VPC3),1344,65.98,8
ch,IM6RR1D,haven_labelled,TRUE,4,Journée de vaccination Rougeole-Rubéole (RR1),1344,65.98,34
ch,IM6RR1M,haven_labelled,TRUE,4,Mois de vaccination Rougeole-Rubéole (RR1),1344,65.98,15
ch,IM6RR1Y,haven_labelled,TRUE,4,Année de vaccination Rougeole-Rubéole (RR1),1344,65.98,8
ch,IM6VHAD,haven_labelled,TRUE,4,Journée de vaccination contre l'hépatite A (VHA),1344,65.98,34
ch,IM6VHAM,haven_labelled,TRUE,4,Mois de vaccination contre l'hépatite A (VHA),1344,65.98,15
ch,IM6VHAY,haven_labelled,TRUE,4,Année de vaccination contre l'hépatite A (VHA),1344,65.98,8
ch,IM6RR2D,haven_labelled,TRUE,4,Journée de vaccination Rougeole-Rubéole (RR2),1344,65.98,34
ch,IM6RR2M,haven_labelled,TRUE,4,Mois de vaccination Rougeole-Rubéole (RR2),1344,65.98,15
ch,IM6RR2Y,haven_labelled,TRUE,4,Année de vaccination Rougeole-Rubéole (RR2),1344,65.98,7
ch,IM6DTCRD,haven_labelled,TRUE,4,"Journée de vaccination la diphtérie, le tétanos et la coqueluche acellulaire (DTCR)",1344,65.98,34
ch,IM6DTCRM,haven_labelled,TRUE,4,"Mois de vaccination la diphtérie, le tétanos et la coqueluche acellulaire (DTCR)",1344,65.98,15
ch,IM6DTCRY,haven_labelled,TRUE,4,"Année de vaccination la diphtérie, le tétanos et la coqueluche acellulaire (DTCR)",1344,65.98,7
ch,IM6VPORD,haven_labelled,TRUE,4,Jour de revaccination antipoliomyélitique oral (VPO R),1344,65.98,34
ch,IM6VPORM,haven_labelled,TRUE,4,Mois de revaccination antipoliomyélitique oral (VPO R),1344,65.98,15
ch,IM6VPORY,haven_labelled,TRUE,4,Année de revaccination antipoliomyélitique oral (VPO R),1344,65.98,6
ch,IM9,haven_labelled,TRUE,4,"L'enfant a reçu d'autres vaccins pendant les campagnes, les journées de vaccination ou les journées de la santé des enfants",1530,75.11,5
ch,IM11,haven_labelled,TRUE,4,L'enfant a déjà reçu des vaccins,1793,88.02,5
ch,IM14,haven_labelled,TRUE,4,Enfant ayant déjà été vacciné au BCG,1801,88.41,4
ch,IM15,haven_labelled,TRUE,5,Vaccination contre l'hépatite B reçue dans les 24 heures suivant la naissance,1801,88.41,5
ch,IM16,haven_labelled,TRUE,4,Enfant ayant déjà reçu des gouttes contre la polio,1801,88.41,4
ch,IM18,haven_labelled,TRUE,9,Nombre de fois où des gouttes contre la polio ont été reçues,1813,89,7
ch,IM19,haven_labelled,TRUE,4,Un enfant a reçu une injection contre la polio avec les dernières gouttes contre la polio,1801,88.41,4
ch,IM19A,haven_labelled,TRUE,9,Nombre de fois un enfant a reçu une injection contre la polio,1828,89.74,6
ch,IM20,haven_labelled,TRUE,4,Enfant ayant déjà reçu le vaccin Pentavalent 1,111,5.45,3
