dataset,variable,value,label
ch,UF13,1,FRANÇAIS
ch,UF13,2,ARABE
ch,UF13,6,AUTRE LANGUE (préciser)
ch,UF14,1,FRANÇAIS
ch,UF14,2,ARABE
ch,UF14,6,AUTRE LANGUE (préciser)
ch,UF15,1,"OUI, QUESTIONNAIRE ENTIER"
ch,UF15,2,"OUI, PARTIES DU QUESTIONNAIRE"
ch,UF15,3,"NON, PAS BESOIN"
ch,UF15A,1,OUI
ch,UF15A,2,NON
ch,UF15A,9,NON REPONSE
ch,UF15B,1,OUI
ch,UF15B,2,NON
ch,UF15B,9,NON REPONSE
ch,UF15C,1,OUI
ch,UF15C,2,NON
ch,UF15C,9,NON REPONSE
ch,UF15D,1,OUI
ch,UF15D,2,NON
ch,UF15D,9,NON REPONSE
ch,UF15E,1,OUI
ch,UF15E,2,NON
ch,UF15E,9,NON REPONSE
ch,UF15G_P1,1,OUI
ch,UF15G_P1,2,NON
ch,UF15G_P1,9,NON REPONSE
ch,UF15J_P1,1,OUI
ch,UF15J_P1,2,NON
ch,UF15J_P1,9,NON REPONSE
ch,UF15G_P2,1,OUI
ch,UF15G_P2,2,NON
ch,UF15G_P2,9,NON REPONSE
ch,UF15J_P2,1,OUI
ch,UF15J_P2,2,NON
ch,UF15J_P2,9,NON REPONSE
ch,UF15G_P3,1,OUI
ch,UF15G_P3,2,NON
ch,UF15G_P3,9,NON REPONSE
ch,UF15J_P3,1,OUI
ch,UF15J_P3,2,NON
ch,UF15J_P3,9,NON REPONSE
ch,UB1D,98,NSP
ch,UB1D,99,NON REPONSE
ch,UB1M,1,JANVIER
ch,UB1M,2,FÉVRIER
ch,UB1M,3,MARS
ch,UB1M,4,AVRIL
ch,UB1M,5,MAI
ch,UB1M,6,JUIN
ch,UB1M,7,JUILLET
ch,UB1M,8,AOUT
ch,UB1M,9,SEPTEMBRE
ch,UB1M,10,OCTOBRE
ch,UB1M,11,NOVEMBRE
ch,UB1M,12,DECEMBRE
ch,UB1M,99,NON REPONSE
ch,UB1Y,9999,NON REPONSE
ch,UB6,1,OUI
ch,UB6,2,NON
ch,UB6,9,NON REPONSE
ch,UB6A,1,ANNEE PREPARATOIRE
ch,UB6A,2,JARDIN ENFANTS
ch,UB6A,3,KOUTTAB
ch,UB6A,6,AUTRE
ch,UB7,1,OUI
ch,UB7,2,NON
ch,UB7,9,NON REPONSE
ch,UB8,1,OUI
ch,UB8,2,NON
ch,UB8,9,NON REPONSE
ch,UB9,1,OUI
ch,UB9,2,NON
ch,UB9,9,NON REPONSE
ch,UB10A,NA,NON REPONSE
ch,UB10A,NA,CAISSE NATIONALE D’ASSURANCE MALADIE(CNAM)
ch,UB10D,NA,NON REPONSE
ch,UB10D,NA,ASSURANCE SANTE PRIVEE
ch,UB10E,NA,NON REPONSE
ch,UB10E,NA,SOINS PUBLICS GRATUITS AMG1(CARNET BLANC ANCIEN)
ch,UB10F,NA,NON REPONSE
ch,UB10F,NA,SOINS A TARIF REDUIT AMG2(CARNET JAUNE ANCIEN)
ch,UB10X,NA,NON REPONSE
ch,UB10X,NA,AUTRE (préciser)
ch,UB10NR,NA,NON REPONSE
ch,BR1,1,"OUI, VU"
ch,BR1,2,"OUI, PAS VU"
ch,BR1,3,NON
ch,BR1,8,NSP
ch,BR1,9,NON REPONSE
ch,BR2,1,OUI
ch,BR2,2,NON
ch,BR2,8,NSP
ch,BR2,9,NON REPONSE
ch,BR3,1,OUI
ch,BR3,2,NON
ch,BR3,9,NON REPONSE
ch,EC1,0,AUCUN
ch,EC1,1,UNE
ch,EC1,2,DEUX
ch,EC1,3,TROIS
ch,EC1,4,QUATRE
ch,EC1,5,CINQ
ch,EC1,6,SIX
ch,EC1,7,SEPT
ch,EC1,8,HUIT
ch,EC1,9,NEUF
ch,EC1,10,10 LIVRES OU PLUS
ch,EC1,99,NON REPONSE
ch,EC2A,1,OUI
ch,EC2A,2,NON
ch,EC2A,8,NSP
ch,EC2A,9,NON REPONSE
ch,EC2B,1,OUI
ch,EC2B,2,NON
ch,EC2B,8,NSP
ch,EC2B,9,NON REPONSE
ch,EC2C,1,OUI
ch,EC2C,2,NON
ch,EC2C,8,NSP
ch,EC2C,9,NON REPONSE
ch,EC3A,0,AUCUN
ch,EC3A,1,UNE
ch,EC3A,2,DEUX
ch,EC3A,3,TROIS
ch,EC3A,4,QUATRE
ch,EC3A,5,CINQ
ch,EC3A,6,SIX
ch,EC3A,7,SEPT
ch,EC3A,8,NSP
ch,EC3A,9,NON REPONSE
ch,EC3B,0,AUCUN
ch,EC3B,1,UNE
ch,EC3B,2,DEUX
ch,EC3B,3,TROIS
ch,EC3B,4,QUATRE
ch,EC3B,5,CINQ
ch,EC3B,6,SIX
ch,EC3B,7,SEPT
ch,EC3B,8,NSP
ch,EC3B,9,NON REPONSE
ch,EC5AA,NA,NON REPONSE
ch,EC5AA,NA,MERE
ch,EC5AB,NA,NON REPONSE
ch,EC5AB,NA,PERE
ch,EC5AX,NA,NON REPONSE
ch,EC5AX,NA,AUTRE
ch,EC5AY,NA,NON REPONSE
ch,EC5AY,NA,PERSONNE
ch,EC5ANR,NA,NON REPONSE
ch,EC5BA,NA,NON REPONSE
ch,EC5BA,NA,MERE
ch,EC5BB,NA,NON REPONSE
ch,EC5BB,NA,PERE
ch,EC5BX,NA,NON REPONSE
ch,EC5BX,NA,AUTRE
ch,EC5BY,NA,NON REPONSE
ch,EC5BY,NA,PERSONNE
ch,EC5BNR,NA,NON REPONSE
ch,EC5CA,NA,NON REPONSE
ch,EC5CA,NA,MERE
ch,EC5CB,NA,NON REPONSE
ch,EC5CB,NA,PERE
ch,EC5CX,NA,NON REPONSE
ch,EC5CX,NA,AUTRE
ch,EC5CY,NA,NON REPONSE
ch,EC5CY,NA,PERSONNE
ch,EC5CNR,NA,NON REPONSE
ch,EC5DA,NA,NON REPONSE
ch,EC5DA,NA,MERE
ch,EC5DB,NA,NON REPONSE
ch,EC5DB,NA,PERE
ch,EC5DX,NA,NON REPONSE
ch,EC5DX,NA,AUTRE
ch,EC5DY,NA,NON REPONSE
ch,EC5DY,NA,PERSONNE
ch,EC5DNR,NA,NON REPONSE
ch,EC5EA,NA,NON REPONSE
ch,EC5EA,NA,MERE
ch,EC5EB,NA,NON REPONSE
ch,EC5EB,NA,PERE
ch,EC5EX,NA,NON REPONSE
ch,EC5EX,NA,AUTRE
ch,EC5EY,NA,NON REPONSE
ch,EC5EY,NA,PERSONNE
ch,EC5ENR,NA,NON REPONSE
ch,EC5FA,NA,NON REPONSE
ch,EC5FA,NA,MERE
ch,EC5FB,NA,NON REPONSE
ch,EC5FB,NA,PERE
ch,EC5FX,NA,NON REPONSE
ch,EC5FX,NA,AUTRE
ch,EC5FY,NA,NON REPONSE
ch,EC5FY,NA,PERSONNE
ch,EC5FNR,NA,NON REPONSE
ch,EC21,1,OUI
ch,EC21,2,NON
ch,EC21,8,NSP
ch,EC21,9,NON REPONSE
ch,EC22,1,OUI
ch,EC22,2,NON
ch,EC22,8,NSP
ch,EC22,9,NON REPONSE
ch,EC23,1,OUI
ch,EC23,2,NON
ch,EC23,8,NSP
ch,EC23,9,NON REPONSE
ch,EC24,1,OUI
ch,EC24,2,NON
ch,EC24,8,NSP
ch,EC24,9,NON REPONSE
ch,EC25,1,OUI
ch,EC25,2,NON
ch,EC25,8,NSP
ch,EC25,9,NON REPONSE
ch,EC26,1,OUI
ch,EC26,2,NON
ch,EC26,8,NSP
ch,EC26,9,NON REPONSE
ch,EC27,1,OUI
ch,EC27,2,NON
ch,EC27,8,NSP
ch,EC27,9,NON REPONSE
ch,EC28,1,OUI
ch,EC28,2,NON
ch,EC28,8,NSP
ch,EC28,9,NON REPONSE
ch,EC29,1,OUI
ch,EC29,2,NON
ch,EC29,8,NSP
ch,EC29,9,NON REPONSE
ch,EC30,1,OUI
ch,EC30,2,NON
ch,EC30,8,NSP
ch,EC30,9,NON REPONSE
ch,EC31,1,OUI
ch,EC31,2,NON
ch,EC31,8,NSP
ch,EC31,9,NON REPONSE
ch,EC32,1,OUI
ch,EC32,2,NON
ch,EC32,8,NSP
ch,EC32,9,NON REPONSE
ch,EC33,1,OUI
ch,EC33,2,NON
ch,EC33,8,NSP
ch,EC33,9,NON REPONSE
ch,EC34,1,OUI
ch,EC34,2,NON
ch,EC34,8,NSP
ch,EC34,9,NON REPONSE
ch,EC35,1,OUI
ch,EC35,2,NON
ch,EC35,8,NSP
ch,EC35,9,NON REPONSE
ch,EC36,1,OUI
ch,EC36,2,NON
ch,EC36,8,NSP
ch,EC36,9,NON REPONSE
ch,EC37,1,OUI
ch,EC37,2,NON
ch,EC37,8,NSP
ch,EC37,9,NON REPONSE
ch,EC38,1,OUI
ch,EC38,2,NON
ch,EC38,8,NSP
ch,EC38,9,NON REPONSE
ch,EC39,1,CHAQUE JOUR
ch,EC39,2,CHAQUE SEMAINE
ch,EC39,3,CHAQUE MOIS
ch,EC39,4,QUELQUES FOIS PAR AN
ch,EC39,5,PAS DU TOUT
ch,EC39,9,NON REPONSE
ch,EC40,1,Pas du tout
ch,EC40,2,Moins
ch,EC40,3,La même chose
ch,EC40,4,Plus
ch,EC40,5,Beaucoup plus
ch,EC40,9,NON REPONSE
ch,UCD2A,1,OUI
ch,UCD2A,2,NON
ch,UCD2A,9,NON REPONSE
ch,UCD2B,1,OUI
ch,UCD2B,2,NON
ch,UCD2B,9,NON REPONSE
ch,UCD2C,1,OUI
ch,UCD2C,2,NON
ch,UCD2C,9,NON REPONSE
ch,UCD2D,1,OUI
ch,UCD2D,2,NON
ch,UCD2D,9,NON REPONSE
ch,UCD2E,1,OUI
ch,UCD2E,2,NON
ch,UCD2E,9,NON REPONSE
ch,UCD2F,1,OUI
ch,UCD2F,2,NON
ch,UCD2F,9,NON REPONSE
ch,UCD2G,1,OUI
ch,UCD2G,2,NON
ch,UCD2G,9,NON REPONSE
ch,UCD2H,1,OUI
ch,UCD2H,2,NON
ch,UCD2H,9,NON REPONSE
ch,UCD2I,1,OUI
ch,UCD2I,2,NON
ch,UCD2I,9,NON REPONSE
ch,UCD2J,1,OUI
ch,UCD2J,2,NON
ch,UCD2J,9,NON REPONSE
ch,UCD2K,1,OUI
ch,UCD2K,2,NON
ch,UCD2K,9,NON REPONSE
ch,UCD3,1,OUI
ch,UCD3,2,NON
ch,UCD4,1,OUI
ch,UCD4,2,NON
ch,UCD5,1,OUI
ch,UCD5,2,NON
ch,UCD5,8,NSP / PAS OPINION
ch,UCD5,9,NON REPONSE
ch,UCF2,1,OUI
ch,UCF2,2,NON
ch,UCF2,9,NON REPONSE
ch,UCF3,1,OUI
ch,UCF3,2,NON
ch,UCF3,9,NON REPONSE
ch,UCF4,1,OUI
ch,UCF4,2,NON
ch,UCF4,9,NON REPONSE
ch,UCF7,1,AUCUNE DIFFICULTE
ch,UCF7,2,QUELQUES DIFFICULTES
ch,UCF7,3,BEAUCOUP DE DIFFICULTES
ch,UCF7,4,NE PEUT PAS DU TOUT VOIR
ch,UCF7,9,NON REPONSE
ch,UCF9,1,AUCUNE DIFFICULTE
ch,UCF9,2,QUELQUES DIFFICULTES
ch,UCF9,3,BEAUCOUP DE DIFFICULTES
ch,UCF9,4,NE PEUT PAS DU TOUT ENTENDRE
ch,UCF9,9,NON REPONSE
ch,UCF11,2,QUELQUES DIFFICULTES
ch,UCF11,3,BEAUCOUP DE DIFFICULTES
ch,UCF11,4,NE PEUT PAS DU TOUT MARCHER
ch,UCF11,9,NON REPONSE
ch,UCF12,1,AUCUNE DIFFICULTE
ch,UCF12,2,QUELQUES DIFFICULTES
ch,UCF12,3,BEAUCOUP DE DIFFICULTES
ch,UCF12,4,NE PEUT PAS DU TOUT MARCHER
ch,UCF12,9,NON REPONSE
ch,UCF13,1,AUCUNE DIFFICULTE
ch,UCF13,2,QUELQUES DIFFICULTES
ch,UCF13,3,BEAUCOUP DE DIFFICULTES
ch,UCF13,4,NE PEUT PAS DU TOUT MARCHER
ch,UCF13,9,NON REPONSE
ch,UCF14,1,AUCUNE DIFFICULTE
ch,UCF14,2,QUELQUES DIFFICULTES
ch,UCF14,3,BEAUCOUP DE DIFFICULTES
ch,UCF14,4,NE PEUT PAS DU TOUT ATTAPER
ch,UCF14,9,NON REPONSE
ch,UCF15,1,AUCUNE DIFFICULTE
ch,UCF15,2,QUELQUES DIFFICULTES
ch,UCF15,3,BEAUCOUP DE DIFFICULTES
ch,UCF15,4,NE PEUT PAS DU TOUT COMRENDRE
ch,UCF15,9,NON REPONSE
ch,UCF16,1,AUCUNE DIFFICULTE
ch,UCF16,2,QUELQUES DIFFICULTES
ch,UCF16,3,BEAUCOUP DE DIFFICULTES
ch,UCF16,4,NE PEUT PAS DU TOUT ETRE COMPRIS
ch,UCF16,9,NON REPONSE
ch,UCF17,1,AUCUNE DIFFICULTE
ch,UCF17,2,QUELQUES DIFFICULTES
ch,UCF17,3,BEAUCOUP DE DIFFICULTES
ch,UCF17,4,NE PEUT PAS DU TOUT APPRENDRE
ch,UCF17,9,NON REPONSE
ch,UCF18,1,AUCUNE DIFFICULTE
ch,UCF18,2,QUELQUES DIFFICULTES
ch,UCF18,3,BEAUCOUP DE DIFFICULTES
ch,UCF18,4,NE PEUT PAS DU TOUT JOUER
ch,UCF18,9,NON REPONSE
ch,BD2,1,OUI
ch,BD2,2,NON
ch,BD2,8,NSP
ch,BD2,9,NON REPONSE
ch,BD3,1,OUI
ch,BD3,2,NON
ch,BD3,8,NSP
ch,BD3,9,NON REPONSE
ch,BD4,1,OUI
ch,BD4,2,NON
ch,BD4,8,NSP
ch,BD4,9,NON REPONSE
ch,BD5,1,OUI
ch,BD5,2,NON
ch,BD5,8,NSP
ch,BD5,9,NON REPONSE
ch,BD6,1,OUI
ch,BD6,2,NON
ch,BD6,8,NSP
ch,BD6,9,NON REPONSE
ch,BD7A,1,OUI
ch,BD7A,2,NON
ch,BD7A,8,NSP
ch,BD7A,9,NON REPONSE
ch,BD7B,1,OUI
ch,BD7B,2,NON
ch,BD7B,8,NSP
ch,BD7B,9,NON REPONSE
ch,BD7C,1,OUI
ch,BD7C,2,NON
ch,BD7C,8,NSP
ch,BD7C,9,NON REPONSE
ch,BD7D,1,OUI
ch,BD7D,2,NON
ch,BD7D,8,NSP
ch,BD7D,9,NON REPONSE
ch,BD7D1,1,UNE
ch,BD7D1,2,DEUX
ch,BD7D1,3,TROIS
ch,BD7D1,4,QUATRE
ch,BD7D1,5,CINQ
ch,BD7D1,6,SIX
ch,BD7D1,7,SEPT OU PLUS
ch,BD7D1,8,NSP
ch,BD7D1,9,NON REPONSE
ch,BD7E,1,OUI
ch,BD7E,2,NON
ch,BD7E,8,NSP
ch,BD7E,9,NON REPONSE
ch,BD7E1,1,UNE
ch,BD7E1,2,DEUX
ch,BD7E1,3,TROIS
ch,BD7E1,4,QUATRE
ch,BD7E1,5,CINQ
ch,BD7E1,6,SIX
ch,BD7E1,7,SEPT OU PLUS
ch,BD7E1,8,NSP
ch,BD7E1,9,NON REPONSE
ch,BD7X,1,OUI
ch,BD7X,2,NON
ch,BD7X,8,NSP
ch,BD7X,9,NON REPONSE
ch,BD8A,1,OUI
ch,BD8A,2,NON
ch,BD8A,8,NSP
ch,BD8A,9,NON REPONSE
ch,BD8A1,1,UNE
ch,BD8A1,2,DEUX
ch,BD8A1,3,TROIS
ch,BD8A1,4,QUATRE
ch,BD8A1,5,CINQ
ch,BD8A1,6,SIX
ch,BD8A1,7,SEPT OU PLUS
ch,BD8A1,8,NSP
ch,BD8A1,9,NON REPONSE
ch,BD8B,1,OUI
ch,BD8B,2,NON
ch,BD8B,8,NSP
ch,BD8B,9,NON REPONSE
ch,BD8C,1,OUI
ch,BD8C,2,NON
ch,BD8C,8,NSP
ch,BD8C,9,NON REPONSE
ch,BD8D,1,OUI
ch,BD8D,2,NON
ch,BD8D,8,NSP
ch,BD8D,9,NON REPONSE
ch,BD8E,1,OUI
ch,BD8E,2,NON
ch,BD8E,8,NSP
ch,BD8E,9,NON REPONSE
ch,BD8F,1,OUI
ch,BD8F,2,NON
ch,BD8F,8,NSP
ch,BD8F,9,NON REPONSE
ch,BD8G,1,OUI
ch,BD8G,2,NON
ch,BD8G,8,NSP
ch,BD8G,9,NON REPONSE
ch,BD8H,1,OUI
ch,BD8H,2,NON
ch,BD8H,8,NSP
ch,BD8H,9,NON REPONSE
ch,BD8I,1,OUI
ch,BD8I,2,NON
ch,BD8I,8,NSP
ch,BD8I,9,NON REPONSE
ch,BD8J,1,OUI
ch,BD8J,2,NON
ch,BD8J,8,NSP
ch,BD8J,9,NON REPONSE
ch,BD8K,1,OUI
ch,BD8K,2,NON
ch,BD8K,8,NSP
ch,BD8K,9,NON REPONSE
ch,BD8L,1,OUI
ch,BD8L,2,NON
ch,BD8L,8,NSP
ch,BD8L,9,NON REPONSE
ch,BD8M,1,OUI
ch,BD8M,2,NON
ch,BD8M,8,NSP
ch,BD8M,9,NON REPONSE
ch,BD8N,1,OUI
ch,BD8N,2,NON
ch,BD8N,8,NSP
ch,BD8N,9,NON REPONSE
ch,BD8X,1,OUI
ch,BD8X,2,NON
ch,BD8X,8,NSP
ch,BD8X,9,NON REPONSE
ch,BD9,1,UNE
ch,BD9,2,DEUX
ch,BD9,3,TROIS
ch,BD9,4,QUATRE
ch,BD9,5,CINQ
ch,BD9,6,SIX
ch,BD9,7,SEPT OU PLUS
ch,BD9,8,NSP
ch,BD9,9,NON REPONSE
ch,BD9,97,INCONSISTANT
ch,BD8DUMMY,1,CONTINUER
ch,IM2,1,"OUI, A   UN CARNET"
ch,IM2,4,"NON, N’A PAS DE CARNET"
ch,IM2,9,NON REPONSE
ch,IM3,1,OUI
ch,IM3,2,NON
ch,IM3,9,NON REPONSE
ch,IM4A,1,PUBLIQUE
ch,IM4A,2,PRIVE
ch,IM4A,3,PUBLIQUE ET PRIVE
ch,IM4B,1,PUBLIQUE
ch,IM4B,2,PRIVE
ch,IM4B,3,PUBLIQUE ET PRIVE
ch,IM5,1,"OUI, CARNET DU SECETUR PUBLIC VU"
ch,IM5,2,"OUI, CARNET DU SECETUR PRIVE VU"
ch,IM5,3,"OUI, CARNET(S) DU SECTEUR  PUBLIC ET PRIVE VUS"
ch,IM5,4,"NON, LE CARNET DU SECTEUR PUBLIC PAS VU"
ch,IM5,5,"NON, LE CARNET DU SECTEUR PRIVE PAS VU"
ch,IM5,6,"NON, LE CARNET DES 2 SECTEURS PAS VU"
ch,IM5,9,NON REPONSE
ch,IM6BD,0,PAS DONNE
ch,IM6BD,44,MARQUE SUR CARTE
ch,IM6BD,66,MERE REPORTEE
ch,IM6BD,99,NON REPONSE
ch,IM6BM,0,PAS DONNE
ch,IM6BM,44,MARQUE SUR CARTE
ch,IM6BM,66,MERE REPORTEE
ch,IM6BM,99,NON REPONSE
ch,IM6BY,0,PAS DONNE
ch,IM6BY,4444,MARQUE SUR CARTE
ch,IM6BY,6666,MERE REPORTEE
ch,IM6BY,9999,NON REPONSE
ch,IM6VHB0D,0,PAS DONNE
ch,IM6VHB0D,44,MARQUE SUR CARTE
ch,IM6VHB0D,66,MERE REPORTEE
ch,IM6VHB0D,99,NON REPONSE
ch,IM6VHB0M,0,PAS DONNE
ch,IM6VHB0M,44,MARQUE SUR CARTE
ch,IM6VHB0M,66,MERE REPORTEE
ch,IM6VHB0M,99,NON REPONSE
ch,IM6VHB0Y,0,PAS DONNE
ch,IM6VHB0Y,4444,MARQUE SUR CARTE
ch,IM6VHB0Y,6666,MERE REPORTEE
ch,IM6VHB0Y,9999,NON REPONSE
ch,IM6PENTA1D,0,PAS DONNE
ch,IM6PENTA1D,44,MARQUE SUR CARTE
ch,IM6PENTA1D,66,MERE REPORTEE
ch,IM6PENTA1D,99,NON REPONSE
ch,IM6PENTA1M,0,PAS DONNE
ch,IM6PENTA1M,44,MARQUE SUR CARTE
ch,IM6PENTA1M,66,MERE REPORTEE
ch,IM6PENTA1M,99,NON REPONSE
ch,IM6PENTA1Y,0,PAS DONNE
ch,IM6PENTA1Y,4444,MARQUE SUR CARTE
ch,IM6PENTA1Y,6666,MERE REPORTEE
ch,IM6PENTA1Y,9999,NON REPONSE
ch,IM6VPI1D,0,PAS DONNE
ch,IM6VPI1D,44,MARQUE SUR CARTE
ch,IM6VPI1D,66,MERE REPORTEE
ch,IM6VPI1D,99,NON REPONSE
ch,IM6VPI1M,0,PAS DONNE
ch,IM6VPI1M,44,MARQUE SUR CARTE
ch,IM6VPI1M,66,MERE REPORTEE
ch,IM6VPI1M,99,NON REPONSE
ch,IM6VPI1Y,0,PAS DONNE
ch,IM6VPI1Y,4444,MARQUE SUR CARTE
ch,IM6VPI1Y,6666,MERE REPORTEE
ch,IM6VPI1Y,9999,NON REPONSE
ch,IM6VPC1D,0,PAS DONNE
ch,IM6VPC1D,44,MARQUE SUR CARTE
ch,IM6VPC1D,66,MERE REPORTEE
ch,IM6VPC1D,99,NON REPONSE
ch,IM6VPC1M,0,PAS DONNE
ch,IM6VPC1M,44,MARQUE SUR CARTE
ch,IM6VPC1M,66,MERE REPORTEE
ch,IM6VPC1M,99,NON REPONSE
ch,IM6VPC1Y,0,PAS DONNE
ch,IM6VPC1Y,4444,MARQUE SUR CARTE
ch,IM6VPC1Y,6666,MERE REPORTEE
ch,IM6VPC1Y,9999,NON REPONSE
ch,IM6PENTA2D,0,PAS DONNE
ch,IM6PENTA2D,44,MARQUE SUR CARTE
ch,IM6PENTA2D,66,MERE REPORTEE
ch,IM6PENTA2D,99,NON REPONSE
ch,IM6PENTA2Y,0,PAS DONNE
ch,IM6PENTA2Y,4444,MARQUE SUR CARTE
ch,IM6PENTA2Y,6666,MERE REPORTEE
ch,IM6PENTA2Y,9999,NON REPONSE
ch,IM6VPI2D,0,PAS DONNE
ch,IM6VPI2D,44,MARQUE SUR CARTE
ch,IM6VPI2D,66,MERE REPORTEE
ch,IM6VPI2D,99,NON REPONSE
ch,IM6VPI2M,0,PAS DONNE
ch,IM6VPI2M,44,MARQUE SUR CARTE
ch,IM6VPI2M,66,MERE REPORTEE
ch,IM6VPI2M,99,NON REPONSE
ch,IM6VPI2Y,0,PAS DONNE
ch,IM6VPI2Y,4444,MARQUE SUR CARTE
ch,IM6VPI2Y,6666,MERE REPORTEE
ch,IM6VPI2Y,9999,NON REPONSE
ch,IM6VPC2D,0,PAS DONNE
ch,IM6VPC2D,44,MARQUE SUR CARTE
ch,IM6VPC2D,66,MERE REPORTEE
ch,IM6VPC2D,99,NON REPONSE
ch,IM6VPC2M,0,PAS DONNE
ch,IM6VPC2M,44,MARQUE SUR CARTE
ch,IM6VPC2M,66,MERE REPORTEE
ch,IM6VPC2M,99,NON REPONSE
ch,IM6VPC2Y,0,PAS DONNE
ch,IM6VPC2Y,4444,MARQUE SUR CARTE
ch,IM6VPC2Y,6666,MERE REPORTEE
ch,IM6VPC2Y,9999,NON REPONSE
ch,IM6PENTA3D,0,PAS DONNE
ch,IM6PENTA3D,44,MARQUE SUR CARTE
ch,IM6PENTA3D,66,MERE REPORTEE
ch,IM6PENTA3D,99,NON REPONSE
